City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,kerikeri,60.5771,-150.9298,13.04,100,100,2.57,US,1693061665
328,farshut,31.8055,98.9086,-1.03,91,92,1.1,CN,1693061665
329,bazarnyy karabulak,74.761,-130.4338,-1.93,85,100,3.29,CA,1693061666
330,st. john's,18.8851,169.5609,27.75,78,66,7.68,MH,1693061666
331,cidreira,-55.6512,-142.4146,-0.77,67,100,15.52,PN,1693061666
332,harper,-41.2387,-124.9205,8.48,68,75,7.89,PN,1693061666
333,cogolin,65.1968,63.1254,6.25,83,100,2.57,RU,1693061667
334,tabou,38.3462,-142.0407,20.02,71,100,5.46,US,1693061667
335,arraial do cabo,24.8028,-149.0013,23.87,71,1,8.1,US,1693061668
336,auki,-72.4327,150.0885,-35.87,95,100,8.47,AU,1693061668
337,cassilandia,62.7893,-30.8255,11.03,82,100,8.02,IS,1693061668
338,taoudenni,-70.0308,129.0437,-43.7,85,100,9.79,AU,1693061669
339,sabha,-50.4492,31.4843,0.6,70,37,12.3,ZA,1693061669
340,hami,62.3032,-8.6774,11.35,76,0,1.9,FO,1693061669
341,island harbour,-65.4861,1.3221,-22.72,100,100,2.0,SH,1693061670
342,abou el hassan,-22.6555,85.1577,20.22,63,61,11.83,CC,1693061670
343,suva,-63.4744,-46.7793,-7.01,95,100,4.91,GS,1693061670
344,horishni plavni,26.9062,126.7321,28.78,76,1,3.38,JP,1693061671
345,talugtug,-24.9872,141.5283,16.9,27,0,5.05,AU,1693061671
346,pacific grove,-36.3495,131.4188,12.51,73,5,6.1,AU,1693061671
347,palencia,-12.3314,74.1135,24.6,87,99,12.49,MV,1693061676
348,las tablas,19.8686,122.2111,29.07,77,100,7.65,PH,1693061677
349,nabire,-40.839,-169.0445,10.27,73,74,10.07,NZ,1693061677
350,broome,82.5506,-33.314,-5.13,87,10,2.01,IS,1693061677
351,san juan,-18.5319,157.1229,22.35,71,100,10.52,AU,1693061678
352,remire-montjoly,-11.219,85.6299,25.77,77,65,11.66,CC,1693061678
353,portland,-72.6062,-31.0236,-21.45,100,100,5.16,GS,1693061678
354,kone,-29.6877,140.9995,16.63,29,0,4.08,AU,1693061679
355,ormara,-47.6167,-2.2853,5.66,99,100,8.8,SH,1693061679
356,vila franca do campo,-39.3865,-109.425,9.65,66,100,12.77,PN,1693061679
357,inhambane,-32.7012,-62.6948,12.6,28,42,2.71,AR,1693061680
